Model,Accuracy,Precision,Recall,F1,AUC
logreg_l1,0.9521276595744681,0.9420289855072463,0.9285714285714286,0.935251798561151,0.9857142857142857
svm_rbf,0.9787234042553191,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9901937046004843
rf,0.9680851063829787,0.9444444444444444,0.9714285714285714,0.9577464788732394,0.9926150121065376
